TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D83,All,cobweb4v,250,1,0.7801
D84,All,cobweb4v,250,1,0.7851
D85,All,cobweb4v,250,1,0.7836
D86,All,cobweb4v,250,1,0.7856
D87,All,cobweb4v,250,1,0.7865
D88,All,cobweb4v,250,1,0.7888
D89,All,cobweb4v,250,1,0.7852
D90,All,cobweb4v,250,1,0.7854
D91,All,cobweb4v,250,1,0.7873
D92,All,cobweb4v,250,1,0.7883
D93,All,cobweb4v,250,1,0.7891
D94,All,cobweb4v,250,1,0.79
D95,All,cobweb4v,250,1,0.7915
D96,All,cobweb4v,250,1,0.7914
D97,All,cobweb4v,250,1,0.7938
D98,All,cobweb4v,250,1,0.7956
D99,All,cobweb4v,250,1,0.7989
D100,All,cobweb4v,250,1,0.7982
D1,All,cobweb4v,123,1,0.1834
D2,All,cobweb4v,123,1,0.2468
D3,All,cobweb4v,123,1,0.2824
D4,All,cobweb4v,123,1,0.3169
D5,All,cobweb4v,123,1,0.3459
D6,All,cobweb4v,123,1,0.3748
D7,All,cobweb4v,123,1,0.4398
D8,All,cobweb4v,123,1,0.4468
D9,All,cobweb4v,123,1,0.4977
D10,All,cobweb4v,123,1,0.5323
D11,All,cobweb4v,123,1,0.5459
D12,All,cobweb4v,123,1,0.5517
D13,All,cobweb4v,123,1,0.5682
D14,All,cobweb4v,123,1,0.57
D15,All,cobweb4v,123,1,0.5731
D16,All,cobweb4v,123,1,0.5998
D17,All,cobweb4v,123,1,0.6135
D18,All,cobweb4v,123,1,0.6177
D19,All,cobweb4v,123,1,0.6163
D20,All,cobweb4v,123,1,0.6228
D21,All,cobweb4v,123,1,0.6324
D22,All,cobweb4v,123,1,0.6365
D23,All,cobweb4v,123,1,0.6414
D24,All,cobweb4v,123,1,0.6468
D25,All,cobweb4v,123,1,0.6528
D26,All,cobweb4v,123,1,0.6696
D27,All,cobweb4v,123,1,0.6748
D28,All,cobweb4v,123,1,0.6952
D29,All,cobweb4v,123,1,0.7046
D30,All,cobweb4v,123,1,0.7102
D31,All,cobweb4v,123,1,0.7171
D32,All,cobweb4v,123,1,0.7115
D33,All,cobweb4v,123,1,0.7102
D34,All,cobweb4v,123,1,0.7141
D35,All,cobweb4v,123,1,0.7148
D36,All,cobweb4v,123,1,0.715
D37,All,cobweb4v,123,1,0.722
D38,All,cobweb4v,123,1,0.7326
D39,All,cobweb4v,123,1,0.7326
D40,All,cobweb4v,123,1,0.734
D41,All,cobweb4v,123,1,0.7355
D42,All,cobweb4v,123,1,0.7342
D43,All,cobweb4v,123,1,0.7392
D44,All,cobweb4v,123,1,0.7388
D45,All,cobweb4v,123,1,0.7364
D46,All,cobweb4v,123,1,0.7335
D47,All,cobweb4v,123,1,0.7356
D48,All,cobweb4v,123,1,0.735
D49,All,cobweb4v,123,1,0.7373
D50,All,cobweb4v,123,1,0.7363
D51,All,cobweb4v,123,1,0.735
D52,All,cobweb4v,123,1,0.7378
D53,All,cobweb4v,123,1,0.7381
D54,All,cobweb4v,123,1,0.738
D55,All,cobweb4v,123,1,0.7405
D56,All,cobweb4v,123,1,0.7397
D57,All,cobweb4v,123,1,0.7412
D58,All,cobweb4v,123,1,0.7414
D59,All,cobweb4v,123,1,0.7413
D60,All,cobweb4v,123,1,0.7396
D61,All,cobweb4v,123,1,0.7429
D62,All,cobweb4v,123,1,0.745
D63,All,cobweb4v,123,1,0.7515
D64,All,cobweb4v,123,1,0.7515
D65,All,cobweb4v,123,1,0.752
D66,All,cobweb4v,123,1,0.7532
D67,All,cobweb4v,123,1,0.7549
D68,All,cobweb4v,123,1,0.7598
D69,All,cobweb4v,123,1,0.7593
D70,All,cobweb4v,123,1,0.7621
D71,All,cobweb4v,123,1,0.767
D72,All,cobweb4v,123,1,0.7685
D73,All,cobweb4v,123,1,0.7708
D74,All,cobweb4v,123,1,0.7715
D75,All,cobweb4v,123,1,0.7713
D76,All,cobweb4v,123,1,0.7712
D77,All,cobweb4v,123,1,0.7736
D78,All,cobweb4v,123,1,0.7774
D79,All,cobweb4v,123,1,0.7787
D80,All,cobweb4v,123,1,0.7782
D81,All,cobweb4v,123,1,0.7794
D82,All,cobweb4v,123,1,0.7842
D83,All,cobweb4v,123,1,0.7862
D84,All,cobweb4v,123,1,0.79
D85,All,cobweb4v,123,1,0.791
D86,All,cobweb4v,123,1,0.7923
D87,All,cobweb4v,123,1,0.7943
D88,All,cobweb4v,123,1,0.7922
D89,All,cobweb4v,123,1,0.7939
D90,All,cobweb4v,123,1,0.7959
D91,All,cobweb4v,123,1,0.7968
D92,All,cobweb4v,123,1,0.8004
D93,All,cobweb4v,123,1,0.8008
D94,All,cobweb4v,123,1,0.8013
D95,All,cobweb4v,123,1,0.8028
D96,All,cobweb4v,123,1,0.8051
D97,All,cobweb4v,123,1,0.803
D98,All,cobweb4v,123,1,0.8033
D99,All,cobweb4v,123,1,0.8047
D100,All,cobweb4v,123,1,0.8036
D1,All,cobweb4v,450,1,0.1853
D2,All,cobweb4v,450,1,0.212
D3,All,cobweb4v,450,1,0.3225
D4,All,cobweb4v,450,1,0.3668
D5,All,cobweb4v,450,1,0.3918
D6,All,cobweb4v,450,1,0.4321
D7,All,cobweb4v,450,1,0.4414
D8,All,cobweb4v,450,1,0.4547
D9,All,cobweb4v,450,1,0.4894
D10,All,cobweb4v,450,1,0.4857
D11,All,cobweb4v,450,1,0.5008
D12,All,cobweb4v,450,1,0.5138
D13,All,cobweb4v,450,1,0.5283
D14,All,cobweb4v,450,1,0.5326
D15,All,cobweb4v,450,1,0.5453
D16,All,cobweb4v,450,1,0.5487
D17,All,cobweb4v,450,1,0.5656
D18,All,cobweb4v,450,1,0.5819
D19,All,cobweb4v,450,1,0.5844
D20,All,cobweb4v,450,1,0.5842
D21,All,cobweb4v,450,1,0.6002
D22,All,cobweb4v,450,1,0.6155
D23,All,cobweb4v,450,1,0.6264
D24,All,cobweb4v,450,1,0.6439
D25,All,cobweb4v,450,1,0.6412
D26,All,cobweb4v,450,1,0.6536
D27,All,cobweb4v,450,1,0.655
D28,All,cobweb4v,450,1,0.6629
D29,All,cobweb4v,450,1,0.6664
D30,All,cobweb4v,450,1,0.6659
D31,All,cobweb4v,450,1,0.6753
D32,All,cobweb4v,450,1,0.6808
D33,All,cobweb4v,450,1,0.6944
D34,All,cobweb4v,450,1,0.6911
D35,All,cobweb4v,450,1,0.6906
D36,All,cobweb4v,450,1,0.6919
D37,All,cobweb4v,450,1,0.6894
D38,All,cobweb4v,450,1,0.6939
D39,All,cobweb4v,450,1,0.7043
D40,All,cobweb4v,450,1,0.7113
D41,All,cobweb4v,450,1,0.717
D42,All,cobweb4v,450,1,0.7184
D43,All,cobweb4v,450,1,0.7173
D44,All,cobweb4v,450,1,0.7219
D45,All,cobweb4v,450,1,0.7237
D46,All,cobweb4v,450,1,0.7254
D47,All,cobweb4v,450,1,0.7307
D48,All,cobweb4v,450,1,0.7318
D49,All,cobweb4v,450,1,0.7335
D50,All,cobweb4v,450,1,0.7324
D51,All,cobweb4v,450,1,0.7334
D52,All,cobweb4v,450,1,0.7331
D53,All,cobweb4v,450,1,0.7331
D54,All,cobweb4v,450,1,0.7338
D55,All,cobweb4v,450,1,0.7367
D56,All,cobweb4v,450,1,0.7418
